dataset,row_count,duplicate_rows,duplicate_percentage
olist_closed_deals_dataset.csv,842,0,0.0
olist_customers_dataset.csv,99441,0,0.0
olist_geolocation_dataset.csv,1000163,261831,26.18
olist_marketing_qualified_leads_dataset.csv,8000,0,0.0
olist_orders_dataset.csv,99441,0,0.0
olist_order_items_dataset.csv,112650,0,0.0
olist_order_payments_dataset.csv,103886,0,0.0
olist_order_reviews_dataset.csv,99224,0,0.0
olist_products_dataset.csv,32951,0,0.0
olist_sellers_dataset.csv,3095,0,0.0
product_category_name_translation.csv,71,0,0.0
