dataset,column,count,min,q1,median,mean,q3,max,std,skewness
olist_closed_deals_dataset.csv,declared_product_catalog_size,69,1.0,30.0,100.0,233.02898550724638,300.0,2000.0,352.38055844642525,2.7319547252889196
olist_closed_deals_dataset.csv,declared_monthly_revenue,842,0.0,0.0,0.0,73377.67933491686,0.0,50000000.0,1744799.1768914338,28.036956471905462
olist_customers_dataset.csv,customer_zip_code_prefix,99441,1003.0,11347.0,24416.0,35137.47458291851,58900.0,99990.0,29797.938996206114,0.7790250646607623
olist_geolocation_dataset.csv,geolocation_zip_code_prefix,1000163,1001.0,11075.0,26530.0,36574.16646586607,63504.0,99990.0,30549.335710319858,0.6944941943729732
olist_geolocation_dataset.csv,geolocation_lat,1000163,-36.6053744107061,-23.60354554038031,-22.91937749486411,-21.176152910383962,-19.97962033957529,45.06593318269697,5.715866308822852,1.5651466685710123
olist_geolocation_dataset.csv,geolocation_lng,1000163,-101.46676644931476,-48.573172180526896,-46.63787866960149,-46.390541320935775,-43.7677088028139,121.10539381057764,4.269748306619603,-0.10241684959297571
olist_order_items_dataset.csv,order_item_id,112650,1.0,1.0,1.0,1.1978339991122948,1.0,21.0,0.7051240313951733,7.580355726011258
olist_order_items_dataset.csv,price,112650,0.85,39.9,74.99,120.65373901464713,134.9,6735.0,183.6339280502594,7.9232082632135095
olist_order_items_dataset.csv,freight_value,112650,0.0,13.08,16.26,19.990319928983578,21.15,409.68,15.806405412297082,5.639869620428685
olist_order_payments_dataset.csv,payment_sequential,103886,1.0,1.0,1.0,1.0926785129853878,1.0,29.0,0.7065837791949955,16.180064717352703
olist_order_payments_dataset.csv,payment_installments,103886,0.0,1.0,1.0,2.853348863176944,4.0,24.0,2.687050673856479,1.6550737635551807
olist_order_payments_dataset.csv,payment_value,103886,0.0,56.79,100.0,154.10038041699556,171.8375,13664.08,217.49406386472435,9.25400952847806
olist_order_reviews_dataset.csv,review_score,99224,1.0,4.0,5.0,4.08642062404257,5.0,5.0,1.3475791311150982,-1.3643857064388178
olist_products_dataset.csv,product_name_lenght,32341,5.0,42.0,51.0,48.47694876472589,57.0,76.0,10.245740725237239,-0.903221758762539
olist_products_dataset.csv,product_description_lenght,32341,4.0,339.0,595.0,771.4952846232337,972.0,3992.0,635.1152246349538,1.962092763448352
olist_products_dataset.csv,product_photos_qty,32341,1.0,1.0,1.0,2.1889861166939797,3.0,20.0,1.7367656379315446,2.193409133014569
olist_products_dataset.csv,product_weight_g,32949,0.0,300.0,700.0,2276.4724877841513,1900.0,40425.0,4282.038730977007,3.6048597822753066
olist_products_dataset.csv,product_length_cm,32949,7.0,18.0,25.0,30.81507784758263,38.0,105.0,16.914458054065967,1.7504597083360076
olist_products_dataset.csv,product_height_cm,32949,2.0,8.0,13.0,16.937661234028347,21.0,105.0,13.637554061749494,2.1400612809133093
olist_products_dataset.csv,product_width_cm,32949,6.0,15.0,20.0,23.196728277034204,30.0,118.0,12.079047453227835,1.6709713361516598
olist_sellers_dataset.csv,seller_zip_code_prefix,3095,1001.0,7093.5,14940.0,32291.059450726978,64552.5,99730.0,32713.453829509002,0.916091733507867
